keywords,intent_name
What are my lab test results?,check_results
"I'm out of meds, can you refill it?",refill_prescription
Show my blood test outcome.,check_results
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Refill my prescription please.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
What are my lab test results?,check_results
Can I get more of my prescription?,refill_prescription
Show my blood test outcome.,check_results
I want to make a medical appointment.,book_appointment
Refill my prescription please.,refill_prescription
Can I get more of my prescription?,refill_prescription
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I want to make a medical appointment.,book_appointment
Do you have my test results?,check_results
Show my blood test outcome.,check_results
Get me the latest report.,check_results
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
I want to make a medical appointment.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Can I see a doctor this Friday?,book_appointment
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Show my blood test outcome.,check_results
Can I see a doctor this Friday?,book_appointment
Do you have my test results?,check_results
I want to make a medical appointment.,book_appointment
Get me the latest report.,check_results
Do you have my test results?,check_results
What are my lab test results?,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
What are my lab test results?,check_results
Get me the latest report.,check_results
I need to book an appointment with the doctor.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Show my blood test outcome.,check_results
What are my lab test results?,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Get me the latest report.,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
Do you have my test results?,check_results
I need a refill on my medication.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Do you have my test results?,check_results
Get me the latest report.,check_results
What are my lab test results?,check_results
"I'm out of meds, can you refill it?",refill_prescription
Show my blood test outcome.,check_results
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Refill my prescription please.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
What are my lab test results?,check_results
Can I get more of my prescription?,refill_prescription
Show my blood test outcome.,check_results
I want to make a medical appointment.,book_appointment
Refill my prescription please.,refill_prescription
Can I get more of my prescription?,refill_prescription
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I want to make a medical appointment.,book_appointment
Do you have my test results?,check_results
Show my blood test outcome.,check_results
Get me the latest report.,check_results
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
I want to make a medical appointment.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Can I see a doctor this Friday?,book_appointment
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Show my blood test outcome.,check_results
Can I see a doctor this Friday?,book_appointment
Do you have my test results?,check_results
I want to make a medical appointment.,book_appointment
Get me the latest report.,check_results
Do you have my test results?,check_results
What are my lab test results?,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
What are my lab test results?,check_results
Get me the latest report.,check_results
I need to book an appointment with the doctor.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Show my blood test outcome.,check_results
What are my lab test results?,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Get me the latest report.,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
Do you have my test results?,check_results
I need a refill on my medication.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Do you have my test results?,check_results
Get me the latest report.,check_results
What are my lab test results?,check_results
"I'm out of meds, can you refill it?",refill_prescription
Show my blood test outcome.,check_results
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Refill my prescription please.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
What are my lab test results?,check_results
Can I get more of my prescription?,refill_prescription
Show my blood test outcome.,check_results
I want to make a medical appointment.,book_appointment
Refill my prescription please.,refill_prescription
Can I get more of my prescription?,refill_prescription
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I want to make a medical appointment.,book_appointment
Do you have my test results?,check_results
Show my blood test outcome.,check_results
Get me the latest report.,check_results
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
I want to make a medical appointment.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Can I see a doctor this Friday?,book_appointment
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Show my blood test outcome.,check_results
Can I see a doctor this Friday?,book_appointment
Do you have my test results?,check_results
I want to make a medical appointment.,book_appointment
Get me the latest report.,check_results
Do you have my test results?,check_results
What are my lab test results?,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
What are my lab test results?,check_results
Get me the latest report.,check_results
I need to book an appointment with the doctor.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Show my blood test outcome.,check_results
What are my lab test results?,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Get me the latest report.,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
Do you have my test results?,check_results
I need a refill on my medication.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Do you have my test results?,check_results
Get me the latest report.,check_results
What are my lab test results?,check_results
"I'm out of meds, can you refill it?",refill_prescription
Show my blood test outcome.,check_results
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Refill my prescription please.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
What are my lab test results?,check_results
Can I get more of my prescription?,refill_prescription
Show my blood test outcome.,check_results
I want to make a medical appointment.,book_appointment
Refill my prescription please.,refill_prescription
Can I get more of my prescription?,refill_prescription
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I want to make a medical appointment.,book_appointment
Do you have my test results?,check_results
Show my blood test outcome.,check_results
Get me the latest report.,check_results
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
I want to make a medical appointment.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Can I see a doctor this Friday?,book_appointment
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Show my blood test outcome.,check_results
Can I see a doctor this Friday?,book_appointment
Do you have my test results?,check_results
I want to make a medical appointment.,book_appointment
Get me the latest report.,check_results
Do you have my test results?,check_results
What are my lab test results?,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
What are my lab test results?,check_results
Get me the latest report.,check_results
I need to book an appointment with the doctor.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Show my blood test outcome.,check_results
What are my lab test results?,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Get me the latest report.,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
Do you have my test results?,check_results
I need a refill on my medication.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Do you have my test results?,check_results
Get me the latest report.,check_results
What are my lab test results?,check_results
"I'm out of meds, can you refill it?",refill_prescription
Show my blood test outcome.,check_results
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Refill my prescription please.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
What are my lab test results?,check_results
Can I get more of my prescription?,refill_prescription
Show my blood test outcome.,check_results
I want to make a medical appointment.,book_appointment
Refill my prescription please.,refill_prescription
Can I get more of my prescription?,refill_prescription
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I want to make a medical appointment.,book_appointment
Do you have my test results?,check_results
Show my blood test outcome.,check_results
Get me the latest report.,check_results
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
I want to make a medical appointment.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Can I see a doctor this Friday?,book_appointment
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Show my blood test outcome.,check_results
Can I see a doctor this Friday?,book_appointment
Do you have my test results?,check_results
I want to make a medical appointment.,book_appointment
Get me the latest report.,check_results
Do you have my test results?,check_results
What are my lab test results?,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
What are my lab test results?,check_results
Get me the latest report.,check_results
I need to book an appointment with the doctor.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Show my blood test outcome.,check_results
What are my lab test results?,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Get me the latest report.,check_results
I need a refill on my medication.,refill_prescription
Get me the latest report.,check_results
Refill my prescription please.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
Do you have my test results?,check_results
I need a refill on my medication.,refill_prescription
"I'm out of meds, can you refill it?",refill_prescription
Do you have my test results?,check_results
Get me the latest report.,check_results
What are my lab test results?,check_results
"I'm out of meds, can you refill it?",refill_prescription
Show my blood test outcome.,check_results
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Refill my prescription please.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
What are my lab test results?,check_results
Can I get more of my prescription?,refill_prescription
Show my blood test outcome.,check_results
I want to make a medical appointment.,book_appointment
Refill my prescription please.,refill_prescription
Can I get more of my prescription?,refill_prescription
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
Schedule a dentist visit for tomorrow.,book_appointment
I need a refill on my medication.,refill_prescription
What are my lab test results?,check_results
Do you have my test results?,check_results
Schedule a dentist visit for tomorrow.,book_appointment
I want to make a medical appointment.,book_appointment
Do you have my test results?,check_results
Show my blood test outcome.,check_results
Get me the latest report.,check_results
Can I see a doctor this Friday?,book_appointment
I need a refill on my medication.,refill_prescription
I need to book an appointment with the doctor.,book_appointment
I want to make a medical appointment.,book_appointment
"I'm out of meds, can you refill it?",refill_prescription
Can I get more of my prescription?,refill_prescription
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Can I see a doctor this Friday?,book_appointment
I need to book an appointment with the doctor.,book_appointment
Schedule a dentist visit for tomorrow.,book_appointment
Show my blood test outcome.,check_results
Can I see a doctor this Friday?,book_appointment
Do you have my test results?,check_results
